ID,SquareFeet,Bedrooms,Bathrooms,Neighborhood,YearBuilt,Price
6725,1290,3,3,Urban,1957,260534.7327125476
6726,1033,3,3,Rural,1990,67406.08928108859
6727,2135,5,3,Rural,2008,198322.41686973497
6728,2404,2,2,Suburb,2000,268137.9039819154
6729,1679,4,1,Suburb,1989,178269.33908509396
6730,1322,3,3,Urban,1992,199922.57284878893
6731,2157,4,2,Rural,1981,295046.37562249426
6732,2624,4,3,Rural,1958,312527.07885605044
6733,2499,4,1,Suburb,1961,244486.83799561224
6734,2877,4,2,Rural,1971,355438.5176245093
6735,2559,5,2,Suburb,1954,260576.419965424
6736,1678,5,3,Urban,1996,282137.81374288216
6737,2342,3,1,Suburb,2008,327826.5370318177
6738,2576,2,1,Suburb,1988,217655.7618571928
6739,1943,2,1,Suburb,2010,220279.4196126077
6740,1731,4,1,Rural,2019,151602.68391453757
6741,2230,3,3,Urban,1960,275974.4386507715
6742,2826,2,1,Rural,1999,287405.309830674
6743,1764,4,1,Suburb,1961,132788.6082093236
6744,1645,3,2,Urban,1952,178911.34586227243
6745,2118,3,2,Suburb,1978,230615.6249574677
6746,2160,4,3,Suburb,1984,261779.61037952764
6747,1779,4,1,Rural,1993,123279.01264852994
6748,1181,5,3,Rural,1986,132678.43159440754
6749,2930,2,2,Rural,1958,379219.3873652758
6750,1528,5,3,Suburb,2004,67356.26467937585
6751,2583,2,3,Suburb,1993,330090.10104394815
6752,1459,2,2,Suburb,2017,151834.8725234237
6753,2461,3,3,Urban,2000,234205.53098342265
6754,2574,5,2,Rural,1965,387213.1741058987
6755,2766,4,3,Urban,1975,238905.64730473812
6756,2502,5,3,Rural,1977,311977.312822173
6757,2069,2,1,Suburb,1968,94030.50932966889
6758,2301,5,1,Rural,2003,299713.5144514573
6759,1940,2,2,Suburb,1997,204379.46243888536
6760,1728,2,2,Urban,2020,194415.74016187375
6761,2842,2,2,Rural,1988,325574.6522354862
6762,2445,4,1,Urban,1968,387307.7666399088
6763,1060,4,2,Suburb,2019,125895.39617124468
6764,1292,5,1,Rural,1967,243349.4621316425
6765,2666,5,3,Suburb,1989,287302.71738038963
6766,2721,5,3,Rural,1985,400679.8240326696
6767,1193,4,1,Urban,1996,181275.1622889196
6768,2310,3,3,Suburb,2010,319694.52095534606
6769,1892,4,2,Urban,1999,192998.0591183373
6770,1495,3,3,Suburb,1991,196371.386998637
6771,1578,2,3,Urban,1993,126897.14484619103
6772,1528,2,1,Urban,1990,225159.80155546748
6773,1542,5,1,Rural,1981,49128.168177554326
6774,2554,3,2,Urban,2007,309681.1213576172
6775,1184,3,1,Rural,1975,236154.43637644604
6776,2834,2,3,Urban,1972,372866.514199577
6777,1123,3,1,Suburb,1970,92321.40279003704
6778,1986,2,1,Urban,1959,179630.27827241668
6779,2894,3,2,Rural,2010,361225.3584534505
6780,2044,4,3,Suburb,1966,309871.3234826423
6781,1172,4,3,Rural,1998,59475.09911839568
6782,1324,4,1,Suburb,1977,106112.47861762844
6783,2042,3,1,Urban,1983,209298.56299052856
6784,2920,3,1,Suburb,2014,290199.2072635368
6785,2375,2,2,Urban,1958,221021.26433778656
6786,1470,4,1,Suburb,1961,153705.23103513554
6787,1165,3,3,Urban,1993,160923.4450390888
6788,1398,2,2,Urban,1997,134286.878140162
6789,1042,4,1,Rural,1979,75099.32403355616
6790,1661,2,3,Rural,2016,174157.84210202482
6791,1839,5,2,Rural,1984,206339.17174788305
6792,2913,3,2,Rural,2014,387898.7191819086
6793,1205,5,3,Rural,1989,147474.27035740574
6794,2814,2,1,Suburb,2013,352118.54903449654
6795,1233,3,2,Rural,1969,137377.28262092592
6796,2083,4,1,Suburb,2012,219869.33868837083
6797,1106,5,2,Urban,1979,157120.59220179595
6798,2002,3,3,Urban,1985,177459.83777572977
6799,2301,5,2,Suburb,1953,253999.65790101408
6800,2289,4,2,Rural,2003,209595.82028532663
6801,2583,5,1,Rural,1979,274239.03302155447
6802,2399,3,2,Suburb,1964,223783.37750872152
6803,1702,3,3,Rural,1975,204117.42084834116
6804,1478,2,2,Urban,1998,169746.61108658576
6805,2371,4,2,Rural,2011,294989.01381596475
6806,2195,5,2,Suburb,1962,289821.7782547845
6807,1621,4,1,Urban,1999,276174.53980908234
6808,2903,2,1,Urban,1953,275778.6316377866
6809,2615,5,1,Suburb,1954,200595.11750022147
6810,1662,2,2,Suburb,1982,172016.10162614414
6811,1780,5,3,Suburb,2015,190178.634513408
6812,1105,2,1,Rural,1956,138393.65267700446
6813,1789,5,1,Suburb,1976,269262.8391416344
6814,2004,5,3,Urban,1970,274486.8891750287
6815,2165,4,3,Suburb,1996,185214.96241529356
6816,1945,5,2,Urban,1982,230228.24979614248
6817,2765,5,3,Suburb,2019,278028.31510646944
6818,2820,5,3,Urban,1986,355714.9216397511
6819,2892,5,1,Suburb,1955,281019.8690241564
6820,1147,5,1,Urban,1961,122212.73568260037
6821,2327,5,1,Suburb,1986,280245.1445851828
6822,1379,3,1,Urban,1985,125056.52701653288
6823,2700,4,2,Rural,2007,298827.1691614048
6824,2288,2,2,Suburb,2006,275255.63283562864
6825,2876,3,1,Urban,1968,337952.9055030466
6826,2845,5,1,Urban,1959,315253.7535416918
6827,2279,5,1,Suburb,2019,307835.3042086415
6828,2804,5,1,Suburb,1992,341521.49429727864
6829,1709,4,2,Urban,2014,187379.39012426996
6830,2959,3,3,Rural,2020,371275.2564225608
6831,2916,4,2,Rural,2017,261916.3043287249
6832,2686,5,2,Urban,1960,326815.92124393414
6833,2576,2,2,Suburb,1990,337815.98714691773
6834,2526,2,2,Rural,2006,153572.44536293353
6835,1821,5,3,Urban,1972,189055.94481946796
6836,2877,4,2,Suburb,1975,397308.40326134313
6837,1592,5,2,Urban,1999,165903.7659396868
6838,2280,2,2,Suburb,1984,237498.07916958415
6839,1674,3,3,Suburb,1992,189283.19500932045
6840,2987,3,1,Rural,2004,332471.54286234983
6841,2460,4,2,Urban,2004,373150.3009732552
6842,1678,5,2,Urban,1973,193706.5473925628
6843,2945,4,2,Suburb,1954,257863.59973641823
6844,2435,3,1,Urban,1969,250417.46933246145
6845,2465,5,3,Rural,2010,287623.20403874235
6846,1213,2,2,Suburb,1959,116398.1861560344
6847,1825,2,1,Rural,2014,171631.32689869934
6848,1702,5,2,Urban,1969,223390.63262827296
6849,2854,2,1,Urban,1980,244392.69789378764
6850,2303,2,1,Urban,2008,202965.5129303598
6851,2848,3,3,Rural,2014,258210.7548850075
6852,1601,3,2,Rural,1987,82837.84088606884
6853,1475,2,2,Rural,1959,186328.3482252177
6854,1140,5,3,Suburb,1966,210819.4371258065
6855,2253,4,1,Urban,2014,252022.7710288752
6856,1206,4,3,Rural,2015,107007.82605441204
6857,2984,4,3,Urban,1989,312174.45707586774
6858,2393,2,3,Suburb,2008,245594.7582211987
6859,1359,5,2,Suburb,1979,100378.03207080766
6860,1238,2,2,Suburb,1976,107985.10326868524
6861,1365,5,3,Rural,1956,69416.67644166399
6862,2896,2,1,Urban,1968,404806.6783011548
6863,2628,4,1,Suburb,1967,352636.9951534689
6864,1590,3,3,Urban,1997,150851.3883532607
6865,1317,3,2,Rural,2004,130399.78841456676
6866,2505,3,1,Urban,1982,302262.58689325466
6867,1357,5,1,Rural,2002,177315.64048145805
6868,2003,5,3,Rural,1966,146180.35065645011
6869,2422,3,1,Suburb,1985,360911.48696486594
6870,2374,3,1,Suburb,1975,195484.31079037752
6871,2351,3,3,Suburb,1979,270078.4239169352
6872,1259,2,1,Suburb,1962,133658.5765648069
6873,1244,2,1,Suburb,1954,92538.48064077852
6874,1905,3,1,Suburb,1984,227087.30128112543
6875,1447,4,2,Rural,1955,222525.2154607976
6876,1125,4,3,Rural,1976,222096.80463307915
6877,1348,2,2,Suburb,2017,176281.67584262832
6878,2314,2,2,Suburb,1981,285358.0531090487
6879,1983,5,1,Urban,1994,130289.61660518344
6880,1894,4,1,Suburb,1976,185133.28722211288
6881,1919,2,2,Suburb,2016,207391.0504860758
6882,2524,4,2,Urban,1993,264262.6398553907
6883,2800,3,1,Urban,1952,331286.4306316719
6884,2035,2,2,Rural,1951,234129.68073221648
6885,2776,3,1,Urban,1979,251243.81030024093
6886,1580,2,3,Rural,1997,150957.50162300325
6887,1542,4,1,Suburb,2012,245906.66735232377
6888,2046,2,2,Urban,1999,278110.00886316295
6889,2393,5,1,Rural,1981,288560.4331985479
6890,1316,3,1,Urban,1962,122839.20827624024
6891,2027,2,1,Urban,1978,262576.80647364544
6892,1648,4,1,Suburb,2004,131194.9827768509
6893,2675,4,2,Rural,1999,290115.3784512702
6894,2461,3,3,Rural,1960,327137.1039605771
6895,2693,3,2,Suburb,1979,296362.8774960152
6896,1680,2,2,Suburb,2008,98164.32170101612
6897,1991,3,1,Urban,2011,266650.8815100716
6898,1332,3,1,Suburb,1997,114360.05931657882
6899,1727,3,3,Suburb,1995,219780.2637537431
6900,2023,3,3,Urban,1990,135333.6834610966
6901,1209,2,3,Urban,2013,102097.09221774271
6902,2658,3,2,Suburb,1955,242130.45939317683
6903,2573,2,1,Urban,1976,323647.1778737914
6904,2385,5,3,Suburb,1952,213999.93027553047
6905,2976,5,1,Rural,1954,265075.948204332
6906,2533,5,3,Urban,1976,373027.4845199207
6907,1401,5,1,Suburb,1984,183614.37987327905
6908,1902,4,1,Urban,1962,163582.7118300641
6909,1629,3,2,Urban,1960,135647.3020195658
6910,2101,5,1,Suburb,1981,177217.55144332862
6911,2787,4,1,Urban,2018,262795.1427250846
6912,2772,4,2,Urban,2018,378549.9358125175
6913,2441,2,3,Rural,1989,271553.8935734206
6914,1928,3,1,Suburb,1985,232608.11221651747
6915,2648,5,1,Rural,1996,335561.19250463054
6916,2141,2,1,Urban,1979,163017.57917892668
6917,1548,3,2,Rural,2001,203150.2051228395
6918,2397,4,2,Rural,1999,161405.49518728477
6919,2956,4,3,Rural,2004,275533.49039969384
6920,2004,5,1,Rural,2001,229447.6236640757
6921,2271,5,1,Urban,1989,249839.9280247597
6922,1671,5,3,Urban,1962,213224.06751299556
6923,2281,3,2,Urban,1961,185568.9480090373
6924,2373,3,3,Suburb,1979,328579.6907703052
6925,2013,2,3,Suburb,1971,240982.26394838787
6926,1390,2,3,Rural,1999,149880.3394191399
6927,1443,5,2,Urban,1952,262466.80822445697
6928,1553,3,1,Urban,2003,298798.4605039647
6929,2271,2,1,Rural,1961,285485.5765548051
6930,2131,4,1,Rural,1994,299860.50250577205
6931,1714,2,3,Suburb,1962,144194.9042350882
6932,2051,3,3,Rural,1976,257362.4596121584
6933,1959,5,2,Suburb,2020,243677.01464868625
6934,1542,4,3,Rural,1963,198079.2100349921
6935,2468,3,2,Suburb,1966,242536.0139550395
6936,2014,3,2,Urban,1979,236483.1231029998
6937,2047,2,3,Suburb,2001,241632.69989362877
6938,2610,3,1,Rural,1994,356406.65273739584
6939,1072,2,3,Urban,2017,148199.592220626
6940,2986,5,3,Urban,1978,331288.1360611684
6941,2070,2,2,Rural,1983,130807.13133767711
6942,2839,4,2,Rural,1988,234175.25741645796
6943,1267,3,1,Urban,1995,156826.60843827287
6944,2058,4,3,Urban,2007,254839.88259488525
6945,2836,2,3,Suburb,1975,292170.0958919001
6946,1054,3,1,Suburb,1956,58394.32491268358
6947,2937,2,2,Urban,1967,370856.4371877091
6948,2514,4,2,Rural,1987,315115.58622611826
6949,2104,3,2,Rural,1966,204654.1448047293
6950,2136,4,1,Rural,1995,115459.88197304336
6951,1304,4,1,Rural,1960,166435.65872836334
6952,1618,5,2,Rural,1972,134690.37690113767
6953,2794,3,3,Suburb,1973,320451.74779997935
6954,1938,4,2,Suburb,1973,188208.61925283907
6955,1572,5,1,Suburb,2001,204603.11223113016
6956,2411,4,1,Rural,1993,251397.61216886705
6957,1768,4,1,Suburb,1952,276579.7465641711
6958,1018,5,1,Rural,1950,196520.96075751848
6959,2168,3,2,Suburb,1968,218365.53163686363
6960,1852,2,1,Rural,2004,267547.4132948615
6961,2226,2,1,Urban,1967,184422.0034782738
6962,1660,5,2,Suburb,1963,243122.77752912825
6963,2149,5,2,Rural,1960,278776.05180740746
6964,2048,3,2,Rural,1951,198043.4335333159
6965,2574,4,3,Urban,1981,297484.6052554251
6966,2321,5,2,Rural,1983,303638.742924938
6967,1744,4,1,Suburb,1993,294941.0476672169
6968,1759,3,3,Urban,1966,242097.9339075936
6969,2065,4,1,Suburb,1980,155953.67111337115
6970,2472,3,3,Urban,1965,245517.65769076592
6971,1077,3,1,Urban,1963,215046.1917204874
6972,1277,3,3,Urban,1995,146021.63892355218
6973,2855,5,3,Suburb,1955,306474.00468386087
6974,1711,2,2,Rural,2014,209656.3206681237
6975,1622,3,3,Rural,2004,227121.4717212885
6976,1699,2,1,Urban,2012,220084.47939529316
6977,2453,2,2,Suburb,2021,248851.19383395047
6978,1904,4,1,Urban,2019,253564.17874519023
6979,1786,3,2,Rural,2014,233356.20797832368
6980,1584,3,3,Urban,2003,187689.09555054037
6981,1000,2,3,Rural,1960,117011.81646325758
6982,1205,2,1,Urban,1996,180760.867453112
6983,1331,5,3,Suburb,1961,142240.8882197289
6984,1389,5,2,Rural,1956,165216.09868239463
6985,2012,4,3,Rural,1997,245213.40877802268
6986,1367,3,1,Suburb,1962,154561.2897399449
6987,2637,2,2,Urban,2018,317824.7803746588
6988,2966,4,1,Suburb,1966,327344.7058345092
6989,1730,4,3,Rural,2009,128247.71680575708
6990,2525,5,3,Urban,2008,242453.38191702723
6991,1102,5,2,Rural,2011,191287.7257424772
6992,1154,5,1,Suburb,1958,131977.1945342614
6993,1877,2,2,Rural,1992,210427.72973763183
6994,2274,2,3,Rural,2003,236212.81256249305
6995,2395,4,2,Urban,2007,275083.2298197239
6996,2594,4,3,Suburb,1964,308340.71396046923
6997,2037,4,2,Urban,1973,312260.90943282784
6998,2436,4,3,Rural,1984,295805.4351245806
6999,2883,3,3,Suburb,1968,292884.4443126812
7000,2716,5,1,Urban,2009,328093.9495078319
7001,2241,4,1,Suburb,1967,264943.1196050159
7002,1126,2,3,Suburb,1973,163453.71664512908
7003,2944,5,3,Rural,1981,302183.07104551623
7004,1039,2,3,Urban,1952,115874.94168993468
7005,1773,2,3,Suburb,2006,293046.6242578496
7006,2241,3,2,Suburb,1998,228492.06280384475
7007,1922,2,2,Urban,1967,129374.86080808516
7008,2830,3,1,Suburb,1967,355974.3901439598
7009,1542,3,3,Suburb,1955,161802.49149246915
7010,1933,5,1,Rural,1954,175595.37725593933
7011,2911,5,2,Suburb,1961,284316.02818806155
7012,1165,3,2,Rural,1983,196596.31291594965
7013,2555,3,2,Urban,1956,306549.0476345401
7014,1920,2,1,Suburb,1958,173115.1321467814
7015,2234,3,3,Suburb,1959,227044.3576480262
7016,2569,2,3,Suburb,1967,420237.69110409473
7017,1823,2,3,Urban,1990,184278.3694910254
7018,1252,2,2,Urban,1973,90702.40843730052
7019,2321,5,2,Suburb,1954,251284.220242001
7020,1047,4,1,Urban,2007,156545.67112734105
7021,2503,4,2,Rural,1951,338619.773627649
7022,2079,4,1,Suburb,1998,182546.20432863885
7023,2097,3,1,Urban,1983,247841.6230213433
7024,2713,2,3,Urban,2009,263513.42357391765
7025,1986,5,2,Urban,1968,304141.8727688341
7026,1066,3,1,Urban,2010,160659.30760082853
7027,2067,5,3,Urban,1967,224078.2353456604
7028,1282,2,1,Rural,2002,169843.60171172355
7029,1152,5,1,Rural,1995,148401.84193473752
7030,2066,2,1,Suburb,1999,123062.22187461796
7031,1617,4,3,Rural,1965,166360.1125477585
7032,1467,5,1,Suburb,1981,243911.62710906687
7033,2131,4,2,Rural,2021,232871.06234701828
7034,1757,2,3,Suburb,1984,208183.5644025893
7035,2690,5,1,Rural,1951,247564.5574228989
7036,2651,4,3,Suburb,1965,292308.1999825213
7037,1506,2,1,Rural,1962,113290.10223556346
7038,1442,3,2,Rural,1986,126624.08111043736
7039,2948,2,2,Urban,1962,304812.15529315587
7040,2817,2,2,Rural,2020,234939.5573672507
7041,2446,3,1,Urban,1990,285975.4671880118
7042,2094,4,1,Rural,1981,358606.65543543414
7043,2935,3,1,Suburb,1950,333667.97705932177
7044,2807,4,1,Rural,2007,290925.4789865685
7045,2797,2,2,Suburb,2004,216919.9893583593
7046,1822,3,1,Rural,1956,205523.71656726065
7047,1659,2,1,Urban,2009,162537.87179012303
7048,2385,2,1,Suburb,1958,197586.94192512764
7049,2535,2,2,Suburb,1995,198351.91136547292
7050,2895,2,2,Suburb,1956,348536.6136271412
7051,1690,3,3,Suburb,1984,243142.9472181882
7052,2110,2,1,Suburb,1965,231908.64044183135
7053,2669,2,2,Rural,1955,262666.25727912347
7054,1694,5,1,Urban,1979,115978.17737682442
7055,1225,5,3,Suburb,1988,125190.91447208523
7056,2971,4,2,Rural,1972,343427.5971451571
7057,1258,3,1,Rural,1980,194842.37714944896
7058,2537,5,2,Suburb,1961,192658.40168603964
7059,2202,4,1,Rural,2005,270864.23457354633
7060,2235,3,3,Urban,1995,231633.37291307683
7061,1373,4,2,Urban,1962,161416.49477635254
7062,1928,2,3,Suburb,2009,290269.0601068213
7063,1105,2,3,Urban,1952,227983.40189941003
7064,2233,4,1,Suburb,1955,241436.27041308035
7065,1874,3,1,Suburb,1970,160055.7853127504
7066,2160,5,1,Urban,2004,106179.355807505
7067,2691,3,1,Suburb,1955,269191.0936047628
7068,1737,5,1,Rural,1955,176842.05346729272
7069,1075,3,1,Rural,2003,153914.22802624782
7070,2052,3,1,Rural,1955,178907.75715973432
7071,1782,4,2,Urban,2000,213116.6101763404
7072,2369,5,2,Urban,1960,324614.7080425861
7073,1858,2,1,Rural,1995,158569.26538317546
7074,1344,4,2,Suburb,1989,127936.96442716324
7075,2050,5,3,Suburb,2012,208432.5684924553
7076,2582,3,3,Rural,1992,351506.4750517589
7077,2447,3,2,Urban,1965,301425.804742448
7078,1481,2,2,Urban,1965,88575.91027324364
7079,1839,3,3,Suburb,1968,117107.49154920789
7080,1110,5,2,Urban,1969,142462.08483197738
7081,2910,4,3,Rural,1991,288468.0660239355
7082,2031,4,1,Rural,1979,245718.28097535425
7083,2940,2,3,Suburb,1956,268314.030958469
7084,2397,2,2,Suburb,1981,300274.92634657526
7085,2414,2,1,Urban,1953,147288.7771078171
7086,1389,2,1,Suburb,1955,169312.49524263147
7087,2915,3,1,Rural,1971,260603.0488472471
7088,2377,5,1,Urban,1975,268775.7479187174
7089,1108,4,3,Rural,1963,80493.98783448344
7090,2829,3,3,Urban,2008,273968.7022910557
7091,2237,5,2,Rural,1985,264989.4630757139
7092,1343,2,3,Rural,2013,151733.92248999208
7093,2373,5,1,Suburb,1986,283756.5060115976
7094,2047,3,1,Urban,2005,258126.84309552071
7095,1299,3,2,Urban,2010,261607.95234247783
7096,1858,2,3,Suburb,1994,246604.2829771436
7097,1491,5,3,Rural,2021,203129.93845698924
7098,2700,3,3,Urban,1958,272701.35250012885
7099,1608,4,1,Urban,1993,189126.05140688832
7100,2192,4,1,Suburb,1988,248214.21511580097
7101,1672,5,3,Rural,1973,274736.8882661689
7102,1067,2,2,Urban,1969,135519.62519311465
7103,1569,2,3,Suburb,1983,138217.1252586511
7104,2986,4,2,Suburb,2014,306623.92290289525
7105,2475,4,2,Suburb,1975,243906.0773427637
7106,2588,2,3,Urban,1975,166018.489367791
7107,2467,2,3,Suburb,2007,246809.20036424496
7108,1580,5,1,Urban,1985,196867.9691331501
7109,2327,2,2,Suburb,2009,239804.019842002
7110,2956,3,2,Urban,2002,357155.1575604124
7111,1939,5,3,Rural,1974,176212.51486136933
7112,1650,2,3,Suburb,2007,79250.07434479537
7113,2258,3,2,Rural,1956,269927.87752902595
7114,1767,4,1,Rural,1988,190034.14283411755
7115,2358,3,1,Rural,1968,325233.9355901199
7116,2909,3,1,Urban,1980,313571.7799151813
7117,2622,4,1,Suburb,1974,178378.5109221263
7118,2256,2,3,Rural,1994,229140.50595329807
7119,2136,4,3,Suburb,2005,307861.8106327022
7120,1054,4,3,Urban,2010,161862.40277506062
7121,2213,3,1,Suburb,1961,143838.14535935596
7122,1483,3,1,Urban,2017,215729.81482135164
7123,1063,2,1,Rural,2018,34047.264451814
7124,1345,4,2,Rural,1953,164341.102173432
7125,2564,3,1,Suburb,2012,274779.9180359152
7126,2061,3,2,Urban,2013,231049.14547206843
7127,2629,5,1,Urban,1959,301569.75842549896
7128,1833,3,1,Urban,2019,215026.7889418645
7129,2909,3,1,Suburb,1952,339005.64119249687
7130,1207,4,2,Urban,2000,147804.3428165851
7131,1913,4,2,Urban,1996,260313.59470870497
7132,1006,3,2,Rural,1965,96252.9594273668
7133,1286,4,2,Rural,1951,178792.1044962951
7134,1011,2,3,Urban,1996,167087.42295077146
7135,1355,5,2,Urban,1958,186972.8821306359
7136,1125,4,3,Rural,1953,140077.24158554993
7137,2007,3,2,Rural,1991,232920.8882519031
7138,2817,3,1,Urban,1951,251382.97468850412
7139,2760,5,2,Suburb,1978,342122.0364410357
7140,2893,5,3,Suburb,1951,280936.163296837
7141,2752,3,3,Urban,2011,319579.6455119832
7142,2177,5,1,Rural,1986,185530.3559411385
7143,1636,5,1,Urban,2020,276666.6954978712
7144,2674,2,1,Rural,1983,254445.1187633649
7145,1695,5,3,Suburb,1967,213951.897439006
7146,2450,3,3,Suburb,1965,174168.78601103235
7147,1033,3,3,Urban,2008,87881.7501976338
7148,1160,2,3,Rural,1962,128344.47660226522
7149,2831,5,1,Rural,2010,341158.03967409855
7150,1470,5,3,Urban,1984,254383.3167479672
7151,2073,2,3,Urban,1992,252865.3426585696
7152,1215,3,3,Urban,1995,182225.9597908971
7153,2583,3,2,Rural,2020,260326.82506802905
7154,2553,5,2,Suburb,1958,314597.45397983183
7155,1823,2,2,Rural,2009,244092.82475873423
7156,1616,5,2,Rural,2012,215220.97492192395
7157,2312,2,3,Rural,1963,211128.2200807417
7158,1938,3,1,Urban,1997,156890.16099601024
7159,1053,2,1,Urban,1950,116402.3407525249
7160,1486,4,2,Urban,1999,195393.68867076983
7161,1171,4,2,Rural,1968,154270.93397952052
7162,2463,4,3,Urban,1952,293459.6919226026
7163,2675,5,3,Suburb,2011,303575.90784558014
7164,2308,2,1,Rural,1984,249574.2936245781
7165,1476,4,2,Urban,1966,119382.78391581372
7166,2323,2,2,Urban,1970,228547.87868884372
7167,1743,3,3,Urban,1995,233564.2788955761
7168,2256,4,2,Urban,1996,333306.1952343286
7169,2809,5,3,Suburb,1997,401128.76880509255
7170,2921,3,1,Urban,1983,274786.36073098046
7171,2814,2,2,Rural,1982,280563.5899778711
7172,2734,3,1,Urban,1992,295012.3136629535
7173,2517,4,1,Urban,2010,337159.59052956564
7174,1007,4,2,Rural,2015,128152.540529896
7175,2703,2,2,Rural,2005,357958.3169208048
7176,2058,4,3,Suburb,1958,144860.95528626427
7177,1876,2,1,Suburb,1951,191895.5434091396
7178,1764,3,2,Suburb,2017,176771.4655034408
7179,1440,4,3,Rural,1973,185001.17709802283
7180,2398,5,3,Urban,1964,302027.97387537634
7181,1967,2,1,Suburb,1957,182230.82560850927
7182,2248,5,2,Urban,1987,182851.77915071737
7183,2524,4,1,Rural,1974,160241.21961584498
7184,2505,2,2,Urban,1984,267080.3267549832
7185,2302,4,1,Urban,1965,250462.8774021621
7186,1254,3,1,Urban,2021,236658.62753320875
7187,2946,4,3,Rural,1955,292820.2948269999
7188,1975,2,1,Rural,2000,222048.0762568056
7189,2691,4,2,Rural,2010,324969.1236777482
7190,1175,4,2,Urban,1994,25470.318528568823
7191,1175,5,2,Rural,2002,259629.22594563203
7192,1552,5,3,Suburb,2016,88296.55893327558
7193,2498,3,3,Rural,1962,210826.38734245708
7194,2578,2,1,Rural,1955,259683.4640053691
7195,1528,4,2,Suburb,1989,86964.1888905791
7196,2762,5,3,Rural,2017,311607.42577675974
7197,2447,2,3,Urban,2018,285927.7255911188
7198,2435,3,3,Suburb,1983,267310.5125069419
7199,1018,2,3,Suburb,2006,132312.58311238023
7200,2117,3,1,Rural,2013,186977.84291166317
7201,2417,2,3,Suburb,1962,264434.8328067219
7202,1515,2,3,Urban,2017,180672.19917307
7203,2732,2,1,Urban,1993,257827.5268143919
7204,1919,4,1,Urban,1972,150396.7030743184
7205,1146,2,3,Suburb,1970,141175.21603118823
7206,1831,2,2,Urban,1999,190716.3951628664
7207,1866,3,2,Rural,1960,192018.43265346755
7208,2420,5,1,Rural,2002,208751.07916179844
7209,2357,2,1,Rural,1996,255726.5409829251
7210,1419,4,1,Rural,1986,215038.4316332635
7211,1462,2,3,Rural,1954,131395.752800448
7212,1855,2,1,Suburb,1962,157581.93392607468
7213,1827,2,3,Suburb,1970,144591.40788816832
7214,2980,3,3,Urban,1970,288109.97720119264
7215,2716,5,3,Suburb,1951,299841.8246125776
7216,2055,5,2,Rural,1967,159197.5215891943
7217,2064,4,3,Rural,2020,273423.34735305724
7218,2303,5,1,Suburb,1994,303800.80838443275
7219,1651,2,2,Suburb,1972,85907.72539265976
7220,1095,5,1,Suburb,2011,121083.42271907696
7221,1748,3,1,Rural,1983,208943.47953494
7222,2926,3,3,Rural,1993,377692.3946051354
7223,2891,5,2,Rural,1960,247025.2711616461
7224,1339,2,3,Urban,1974,181233.80922041068
7225,1035,2,2,Suburb,1959,114671.5625791355
7226,1677,3,2,Suburb,1970,212913.1142752002
7227,1890,2,2,Urban,2012,122292.64039502513
7228,1431,2,3,Suburb,1991,190833.33478489183
7229,1181,3,3,Rural,1966,216612.4375995483
7230,2479,2,3,Rural,2019,288186.8484384573
7231,1271,5,2,Urban,1981,54716.56820850186
7232,2547,2,3,Rural,1982,343256.48117003153
7233,1004,5,1,Urban,1953,119570.96908136942
7234,2621,2,3,Rural,1994,292370.57268624613
7235,1449,3,2,Rural,1993,68204.70299054447
7236,1000,4,3,Suburb,1965,92588.34747767012
7237,2646,2,2,Suburb,2009,281970.9132734474
7238,2190,4,3,Rural,1952,255763.49844428236
7239,1025,4,3,Urban,1999,96920.56785928144
7240,1372,2,3,Rural,1984,161026.10729111635
7241,1476,4,3,Rural,1955,94188.89170116464
7242,2863,2,3,Suburb,1991,349150.5382886175
7243,1036,4,2,Suburb,1999,175947.59623840134
7244,2033,5,3,Rural,1965,266828.8048382241
7245,2867,3,1,Suburb,1976,297382.2076295372
7246,2536,3,3,Suburb,1958,249364.9892269516
7247,2588,3,2,Suburb,1958,312524.775062614
7248,2632,3,2,Suburb,1963,303865.82107774256
7249,2250,2,1,Urban,1950,288267.44956864906
7250,1244,4,1,Urban,2012,165071.62812574024
7251,1807,2,1,Urban,1994,164163.35372672192
7252,1559,5,1,Urban,2018,166047.69062077426
7253,2648,4,1,Rural,1990,364164.4182694028
7254,1729,3,1,Rural,1954,135579.85023886463
7255,1573,5,3,Rural,1969,187253.0850979752
7256,1499,3,1,Suburb,2012,122134.09201040048
7257,2351,5,3,Rural,1997,257916.44853429132
7258,1076,5,1,Urban,1956,121370.08976175897
7259,1986,4,1,Rural,1966,301817.7501944338
7260,2762,4,1,Rural,1964,286604.8895816567
7261,2831,4,2,Urban,1990,288896.6083052012
7262,1736,4,3,Rural,1973,295825.2481563079
7263,2065,5,2,Suburb,2021,322381.9266797474
7264,2086,3,1,Urban,1976,274460.3074121164
7265,1569,4,1,Suburb,1984,150592.0621511299
7266,2532,3,1,Urban,1995,265630.8983128843
7267,2932,4,1,Urban,1964,337088.0269301768
7268,1817,2,2,Urban,1990,192715.85932586476
7269,1760,3,3,Suburb,2000,281496.91769243457
7270,2885,5,2,Suburb,2011,237681.0075047075
7271,1995,5,1,Urban,2001,275807.2377484628
7272,2855,3,1,Suburb,2003,263812.3309709669
7273,1271,5,3,Suburb,1998,72521.1687210386
7274,1717,4,2,Urban,1998,240869.4072498032
7275,2418,3,1,Rural,1958,307346.36360624025
